,H_0,H_1,H_2,H_3,H_4,H_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,9.0,9.0,9.0,9.0,9.0,9.0
0.6666666666666666,9.0,18.0,0.0,9.0,9.0,9.0
1.0,9.0,13.81547225356078,9.0,4.5,4.5,10.605157417853592
1.3333333333333333,9.0,12.877747273389145,4.5,9.0,9.0,8.792582424463049
1.6666666666666667,13.5,14.531915953535183,4.5,9.0,9.0,10.843971984511727
2.0,9.0,9.0,12.443226767052593,5.154816426923503,9.0,10.147742255684198
2.3333333333333335,7.188726284582871,7.406738823257022,13.260814260748377,9.0,9.0,9.28542645619609
2.6666666666666665,9.0,4.600000000000001,13.5,9.0,4.5,9.033333333333333
3.0,7.652365472208679,4.5,9.682657058315925,4.5,9.0,7.278340843508201
3.3333333333333335,9.0,15.454758148547572,4.5,9.0,9.0,9.651586049515858
3.6666666666666665,9.0,10.843426003044144,9.0,9.0,4.5,9.614475334348048
4.0,9.0,16.121056448786867,4.5,4.5,9.0,9.873685482928956
4.333333333333333,9.0,9.81895217756994,9.0,9.0,9.0,9.27298405918998
4.666666666666667,12.28779021833968,4.5,9.0,9.0,7.602712284279988,8.595930072779893
5.0,9.0,13.5,9.0,7.485790806035496,9.0,10.5
5.333333333333333,13.423581209477033,13.5,6.132982942866278,9.0,9.0,11.018854717447772
5.666666666666667,9.0,8.589113082783298,9.0,9.0,4.5,8.8630376942611
6.0,9.0,10.345367985441598,8.470021038681267,8.115842755761733,9.0,9.271796341374289
6.333333333333333,9.0,5.9775701749632475,10.533549461695202,9.0,9.0,8.503706545552816
6.666666666666667,9.0,9.0,4.5,9.0,9.0,7.5
7.0,9.0,8.669025434874126,9.0,4.5,9.0,8.889675144958042
7.333333333333333,9.0,9.0,9.0,9.0,9.0,9.0
7.666666666666667,12.518574068800376,9.0,8.903942399327121,9.0,4.5,10.140838822709165
8.0,9.0,9.0,7.324609357907369,8.734707719288735,9.0,8.44153645263579
8.333333333333334,13.5,13.742689131718258,4.5,9.0,9.0,10.58089637723942
8.666666666666666,9.0,13.5,9.0,6.987223773240543,4.5,10.5
9.0,9.0,2.228492765076865,13.5,4.5,9.0,8.242830921692288
9.333333333333334,9.0,13.929142659669614,9.0,9.0,9.0,10.643047553223205
9.666666666666666,8.637009311095817,4.5,14.495222867257795,9.0,7.188616557819756,9.210744059451203
10.0,9.0,13.5,0.0,4.5,9.0,7.5
10.333333333333334,9.0,21.34058023209811,4.5,9.0,4.5,11.613526744032702
10.666666666666666,13.45858539468854,15.122941885184568,4.5,9.0,4.5,11.027175759957702
11.0,9.0,18.051068510351833,13.5,4.5,9.0,13.517022836783944
11.333333333333334,13.423746027856382,13.5,9.0,9.0,9.0,11.974582009285461
11.666666666666666,9.0,13.5,4.5,10.256845749636028,9.0,9.0
12.0,9.0,12.24637907237437,4.5,9.0,9.0,8.582126357458124
12.333333333333334,6.298119715610994,12.54854864290392,5.817539948795485,9.0,8.546296368613824,8.221402769103467
12.666666666666666,9.0,13.5,4.5,6.514733464696519,7.640992106376217,9.0
13.0,9.0,18.0,4.881262673987564,9.0,9.0,10.627087557995855
13.333333333333334,9.0,18.76632981996933,9.0,4.5,9.0,12.25544327332311
13.666666666666666,13.037661884493195,18.1,9.0,9.0,4.5,13.379220628164399
14.0,9.0,4.600000000000001,16.296114664413498,9.0,9.0,9.9653715548045
14.333333333333334,13.5,16.85394964768249,4.5,9.0,9.0,11.617983215894164
14.666666666666666,9.0,4.5,13.369925143537237,9.0,9.0,8.956641714512413
15.0,13.5,11.826458511768998,4.5,4.5,4.5,9.942152837256332
15.333333333333334,9.0,4.5051313407370515,13.5,9.0,6.732391426856623,9.00171044691235
15.666666666666666,9.0,4.5,13.5,9.0,9.0,9.0
16.0,9.0,8.456272494820208,9.0,9.0,4.5,8.818757498273403
16.333333333333332,9.0,9.0,9.0,9.0,9.0,9.0
16.666666666666668,13.317777648696975,18.0,9.0,8.403785606245506,9.0,13.439259216232324
17.0,9.0,4.5,12.837202261709866,8.955308445421977,4.5,8.779067420569955
17.333333333333332,13.5,22.12959187562258,9.0,9.0,9.0,14.876530625207527
17.666666666666668,9.0,9.139491619952393,9.0,13.5,9.0,9.046497206650798
18.0,13.5,13.5,4.5,9.0,4.5,10.5
18.333333333333332,9.0,12.229409388646477,4.5,9.0,9.0,8.576469796215493
18.666666666666668,9.0,23.045195484675233,4.5,6.961276482832631,6.054507305647604,12.181731828225077
19.0,9.0,9.700393342270308,13.662194967176857,9.0,8.876337445354508,10.787529436482389
19.333333333333332,9.0,0.0,13.5,9.0,9.0,7.5
19.666666666666668,13.5,13.32870078149255,4.5,9.0,9.0,10.442900260497517
